OrderID,CustomerName,CustomerEmail,ProductName,ProductCategory,Quantity,Price,OrderDate,DeliveryStatus,PaymentMethod,TotalAmount,OrderMonth
1,Customer_103,Customer103@gmail.com,Butter,Dairy,14,416.06,2025-07-24,Pending,UPI,5824.84,7
2,Customer_180,Customer180@gmail.com,Apple,Fruits,5,269.74,2025-10-12,Delivered,UPI,1348.7,10
3,Customer_93,Customer93@gmail.com,Milk,Dairy,14,199.26,2025-09-16,Delivered,Card,2789.64,9
4,Customer_15,Customer15@gmail.com,Tomato,Vegetables,1,78.74,2025-03-04,Delivered,UPI,78.74,3
5,Customer_107,Customer107@gmail.com,Chicken,Meat,0,373.04,2025-12-21,Delivered,Card,0.0,12
6,Customer_72,Customer72@gmail.com,Eggs,Dairy,6,133.21,2025-06-13,Delivered,UPI,799.26,6
7,Customer_189,Customer189@gmail.com,Cheese,Dairy,6,198.28,2025-02-28,Pending,Card,1189.68,2
8,Customer_21,Customer21@gmail.com,Bread,Bakery,9,50.02,2025-03-07,Cancelled,Card,450.18,3
9,Customer_103,Customer103@gmail.com,Tomato,Vegetables,10,404.66,2025-02-05,Delivered,Card,4046.6000000000004,2
10,Customer_122,Customer122@gmail.com,Banana,Fruits,9,387.96,2025-10-21,Delivered,Card,3491.64,10
11,Customer_75,Customer75@gmail.com,Butter,Dairy,13,372.14,2025-02-14,Delivered,UPI,4837.82,2
12,Customer_88,Customer88@gmail.com,Cheese,Dairy,1,163.73,2025-02-15,Delivered,Card,163.73,2
13,Customer_117,Customer117@gmail.com,Eggs,Dairy,1,103.27,2025-11-07,Delivered,UPI,103.27,11
14,Customer_100,Customer100@gmail.com,Chicken,Meat,0,326.03,2025-05-06,Cancelled,Card,0.0,5
15,Customer_104,Customer104@gmail.com,Apple,Fruits,9,258.16,2025-01-12,Delivered,UPI,2323.44,1
16,Customer_152,Customer152@gmail.com,Eggs,Dairy,7,105.56,2025-01-19,Delivered,Card,738.9200000000001,1
17,Customer_131,Customer131@gmail.com,Cheese,Dairy,14,349.24,2025-02-21,Delivered,Card,4889.360000000001,2
18,Customer_150,Customer150@gmail.com,Eggs,Dairy,7,495.74,2025-03-19,Pending,UPI,3470.1800000000003,3
19,Customer_53,Customer53@gmail.com,Cheese,Dairy,0,378.67,2025-08-31,Pending,Card,0.0,8
20,Customer_2,Customer2@gmail.com,Cheese,Dairy,11,375.19,2025-02-27,Cancelled,Card,4127.09,2
21,Customer_88,Customer88@gmail.com,Orange,Fruits,10,476.15,2025-02-13,Pending,Card,4761.5,2
